Royce D. Applegate,"Royce Dwayne ApplegateDecember 25, 1939Midwest City, Oklahoma, U.S.",m,Norma Applegate (1958-1969) (Divorced)
John Aprea,"Jonathan ApreaMarch 4, 1941 (age 77)Englewood, New Jersey, U.S.",m,Ninon Aprea (1987-1998; divorced; 1 child)
Andrew Arbuckle,"September 5, 1887Galveston, Texas, U.S.",m,Blanche Duquesne
Roscoe Arbuckle,"Roscoe Conkling ArbuckleMarch 24, 1887Smith Center, Kansas, U.S.",m,Minta Durfee(m. 1908; div. 1925)Doris Deane(m. 1925; div. 1929)Addie Oakley Dukes McPhail(m. 1932; his death 1933)
Allan Arbus,"Allan Franklin ArbusFebruary 15, 1918New York City, U.S.",m,Diane Nemerov(m. 1941; div. 1969)Mariclare Costello (m. 1977)
John Archer,"Ralph BowmanMay 8, 1915Osceola, Nebraska, U.S.",m,Marjorie Lord (1941–1953; 2 children)Ann Leddy (1956–1999; his death; 2 children)
Lee Arenberg,"July 18, 1962 (age 56)Palo Alto, California, U.S.",m,Lisa Derrick (1999–2006)Katie Meehan (2007–present)
Geoffrey Arend,"February 28, 1978 (age 40)Manhattan, New York City, U.S.",m,Christina Hendricks (m. 2009)
Yancey Arias,"June 27, 1971 (age 47)New York City, New York, U.S.",m,Anna Alvim (2002-present)
Adam Arkin,"August 19, 1956 (age 62)Brooklyn, New York, U.S.",m,Linda Arkin Phyllis Lyons (m. 1999–2013)Michelle Dunker (m. 2017)
Alan Arkin,"Alan Wolf ArkinMarch 26, 1934 (age 84)Brooklyn, New York, U.S.",m,Jeremy Yaffe(m. 1955; div. 1961)Barbara Dana(m. 1964; div. 1994)Suzanne Newlander (m. 1996)
David Arkin,"David George ArkinDecember 24, 1941Los Angeles, California, United States",m,Anne E. Curry
Matthew Arkin,"March 21, 1960 (age 58)Brooklyn, New York, U.S.",m,Pamela Newkirk(m. 1993; div. 2011)
Richard Arlen,"Sylvanus Richard MattimoreSeptember 1, 1899St. Paul, Minnesota, U.S.",m,Ruth Austin(m. 1920; div. 1923)Jobyna Ralston(m. 1927; div. 1946)Margaret Kinsella (m. 1946)
