Luann de Lesseps,"Luann NadeauMay 17, 1965 (age 53)",Alexandre de Lesseps(m. 1993; div. 2009) Thomas D’ Agostino Jr.(m. 2016; div. 2017)
Etterlene DeBarge,"Etterlene Louise AbneyOctober 13, 1935 (age 83)Royal Oak, Michigan, U.S.","Robert DeBarge, Sr.(m. 1953; div. 1974)George Rodriguez (m. 1980)"
James DeBarge,"James Curtis DeBargeAugust 22, 1963 (age 55)Detroit, Michigan, U.S.",Janet Jackson(m. 1984; ann. 1985)
Thomas Dekker,"Thomas Alexander DekkerDecember 28, 1987 (age 30)Las Vegas, Nevada, U.S.",Jesse Haddock (m. 2017)
Kathleen Delaney,"Kathleen DelaneyMarch 5, 1965 (age 53)Darien, Connecticut, United States",Matthew Scott Guthrie (1996-present)[1]
Majandra Delfino,"Maria Alejandra DelfinoFebruary 20, 1981 (age 37)Caracas, Venezuela",Devon Gummersall(m. 2007; div. 2008)David Walton (m. 2011)
Grey DeLisle,"Erin Grey Van OosbreeAugust 24, 1973 (age 45)Fort Ord, California, U.S.",Christopher DeLisle(m. 1992; div. 1993) Murry Hammond(m. 2002; div. 2010) Jared Griffin (m. 2012)
Nikki DeLoach,"Ashlee Nicole DeLoachSeptember 9, 1979 (age 39)Waycross, Georgia, U.S.",Ryan Goodell (m. 2009)
Tom DeLonge,"Thomas Matthew Delonge Jr.December 13, 1975 (age 43)Poway, California, U.S.",Jennifer Jenkins (m. 2001)
Jude Demorest,"Claire Jude DemorestMarch 11, 1992 (age 26)Detroit, Michigan, U.S.",Ammo (m. 2016)
Zooey Deschanel,"Zooey Claire DeschanelJanuary 17, 1980 (age 38)Los Angeles, California, U.S.",Ben Gibbard(m. 2009; div. 2012)Jacob Pechenik (m. 2015)
Karla DeVito,"August 29, 1953 (age 65)Mokena, Illinois",Robby Benson (m. 1982)
Raquel Diaz,"October 14, 1990 (age 28)[1]El Paso, Texas, United States[2]",Aiden English (m. 2016)[4]
Leah Dizon,"Leah Donna DizonSeptember 24, 1986 (age 32)Las Vegas, Nevada, U.S.",Bun(m. 2008; div. 2010)
Snoop Dogg,"Calvin Cordozar Broadus Jr.October 20, 1971 (age 47)Long Beach, California, U.S.",Shante Taylor(m. 1997; div. 2004)(m. 2008)
Suzzanne Douglas,"April 12, 1957 (age 61)Chicago, Illinois, U.S.",Roy J. Cobb (m. 1989)[1]
Ryan Drummond,"January 10, 1973 (age 45)Lima, Ohio, U.S.",Lisa Drummond (m. 2002)
