Krystal Ball,"Krystal Marie BallNovember 24, 1981 (age 37)King George County, Virginia, U.S.",Democratic,Jonathan Dariyanani
Mike A. Ball,"September 17, 1954 (age 64)Stockton, California",Republican,Debbie
Frank Ballance,"Frank Winston Ballance, Jr.February 15, 1942 (age 76)Windsor, North Carolina",Democratic,Bernadine Balance
Barbara Ballard,"November 14, 1944 (age 74)Petersburg, Virginia",Democratic,Albert Ballard
Cass Ballenger,"Thomas Cass BallengerDecember 6, 1926Hickory, North Carolina",Republican,Donna Ballenger
Robert Alan Ballinger,"January 31, 1974 (age 44)Bremerton, Washington, U.S.",Republican,Jessica Lynn Thomas
Joan Ballweg,"March 16, 1952 (age 66)Milwaukee, Wisconsin",Republican,Thomas Ballweg (m. 1974)
David Balmer,None,Republican,Karen
King Banaian,1957,Republican Party of Minnesota,Barbara
Jim Banks,"James Edward BanksJuly 16, 1979 (age 39)Columbia City, Indiana, U.S.",Republican,Amanda Banks
Gary Banz,"7 December 1945 (age 73)Sylvia, Kansas",Republican,Linda[1]
Bobby H. Barbee Sr.,"November 24, 1927Stanly County, North Carolina",Republican,Jacqueline Pethel
Ron Barber,"Ronald Sylvester BarberAugust 25, 1945 (age 73)Wakefield, England, UK",Democratic,Nancy Barber
Vito Barbieri,"October 22, 1951 (age 67)San Antonio, Texas",Republican,Joy
Nick Barborak,None,Democratic,Brandy
Peter Barca,"August 7, 1955 (age 63)Kenosha, Wisconsin, U.S.",Democratic,Kathleen Barca
James Barcia,"February 25, 1952 (age 66)Bay City, Michigan",Democratic,Victoria
William A. Barclay,"January 5, 1969 (age 49)[1]Syracuse, New York[1]",Republican,Margaret[2]
Ted Barela,"Estancia, New Mexico",Republican,Janice
David Baria,"David Wayne BariaDecember 4, 1962 (age 56)Pascagoula, Mississippi, U.S.",Democratic,Marcie Fyke
Jason Barickman,"May 1, 1975 (age 43)Streator, Illinois",Republican,Kristin Barickman
